5,clean_text,sentiment,compound,pos,neg,neu
"Que ótima experiência de compra, tudo maravilhoso!",ótima experiência compra tudo maravilhoso,Positivo,0.717,0.535,0.0,0.465
"O atendimento horrível, a caixa chegou toda amassada.",atendimento horrível caixa chegou toda amassada,Negativo,-0.6674,0.0,0.596,0.404
A bicicleta chegou no prazo previsto.,bicicleta chegou prazo previsto,Neutro,0.0044,0.003,0.0,0.997
"Que ótima experiência de compra, tudo maravilhoso!",ótima experiência compra tudo maravilhoso,Positivo,0.7988,0.562,0.0,0.438
Qual a diferença entre o relógio e o modelo anterior?,diferença entre relógio modelo anterior,Neutro,-0.0108,0.0,0.008,0.992
"A compra é horrível, não vale o preço, decepção total.",compra horrível vale preço decepção total,Negativo,-0.5195,0.0,0.506,0.494
"Ótimo o suporte, estou muito feliz com a compra!",ótimo suporte estou feliz compra,Positivo,0.8655,0.598,0.0,0.402
"Entrega atrasou muito, ninguém respondeu meus e-mails.",entrega atrasou ninguém respondeu emails,Negativo,-0.8805,0.0,0.57,0.43
Melhor experiência que já tive com o preço.,melhor experiência preço,Positivo,0.6162,0.433,0.0,0.567
Qual a diferença entre o livro e o modelo anterior?,diferença entre livro modelo anterior,Neutro,-0.0023,0.0,0.001,0.999
"Equipe de primeira qualidade, super recomendo essa marca!",equipe primeira qualidade super recomendo marca,Positivo,0.5637,0.349,0.0,0.651
"Que ótima experiência de compra, tudo maravilhoso!",ótima experiência compra tudo maravilhoso,Positivo,0.8322,0.811,0.0,0.189
Vi a propaganda da marca na TV hoje.,propaganda marca hoje,Neutro,0.0162,0.011,0.0,0.989
"Simplesmente incrível, a qualidade sensacional!",simplesmente incrível qualidade sensacional,Positivo,0.7954,0.665,0.0,0.335
"Muito satisfeito com o fone de ouvido, vale cada centavo.",satisfeito fone ouvido vale cada centavo,Positivo,0.7987,0.576,0.0,0.424
"Péssimo o site, não recomendo.",péssimo site recomendo,Negativo,-0.8314,0.0,0.824,0.176
"O brinquedo tem cor azul e branca, conforme o anúncio.",brinquedo cor azul branca conforme anúncio,Neutro,0.0449,0.042,0.0,0.958
Vi a propaganda da marca na TV hoje.,propaganda marca hoje,Neutro,-0.0399,0.0,0.033,0.967
"O perfume é maravilhoso, adorei demais!",perfume maravilhoso adorei demais,Positivo,0.578,0.408,0.0,0.592
"Equipe muito profissional, super recomendo essa marca!",equipe profissional super recomendo marca,Positivo,0.623,0.469,0.0,0.531
"Suporte não responde, estou muito insatisfeito.",suporte responde estou insatisfeito,Negativo,-0.4935,0.0,0.309,0.691
O pedido chegou no prazo previsto.,pedido chegou prazo previsto,Neutro,0.0362,0.03,0.0,0.97
Qual a diferença entre a compra e o modelo anterior?,diferença entre compra modelo anterior,Neutro,0.0071,0.006,0.0,0.994
"Muito satisfeito com o eletrodoméstico, vale cada centavo.",satisfeito eletrodoméstico vale cada centavo,Positivo,0.5965,0.564,0.0,0.436
"A loja fica aberta até as 22h, segundo o site.",loja fica aberta até segundo site,Neutro,-0.0454,0.0,0.033,0.967
"O eletrodoméstico tem cor azul e branca, conforme o anúncio.",eletrodoméstico cor azul branca conforme anúncio,Neutro,-0.0492,0.0,0.032,0.968
"Não indico essa marca pra ninguém, cobraram duas vezes no cartão.",indico marca pra ninguém cobraram duas vezes cartão,Negativo,-0.8668,0.0,0.71,0.29
"Entrega atrasou muito, cobraram duas vezes no cartão.",entrega atrasou cobraram duas vezes cartão,Negativo,-0.7263,0.0,0.559,0.441
"A compra superou minhas expectativas, muito bom!",compra superou expectativas bom,Positivo,0.6139,0.459,0.0,0.541
"Suporte não responde, estou muito insatisfeito.",suporte responde estou insatisfeito,Negativo,-0.5525,0.0,0.418,0.582
"Produto de baixa qualidade, dinheiro jogado fora.",produto baixa qualidade dinheiro jogado fora,Negativo,-0.6332,0.0,0.453,0.547
"Excelente a embalagem, recomendo a todos!",excelente embalagem recomendo todos,Positivo,0.7718,0.699,0.0,0.301
Melhor experiência que já tive com o suporte.,melhor experiência suporte,Positivo,0.797,0.53,0.0,0.47
"Muito bom o produto, ficou perfeito, adorei o resultado!",bom produto ficou perfeito adorei resultado,Positivo,0.8936,0.666,0.0,0.334
Qual a diferença entre o relógio e o modelo anterior?,diferença entre relógio modelo anterior,Neutro,0.0383,0.03,0.0,0.97
"O brinquedo é maravilhoso, adorei demais!",brinquedo maravilhoso adorei demais,Positivo,0.4325,0.302,0.0,0.698
O produto chegou no prazo previsto.,produto chegou prazo previsto,Neutro,-0.0095,0.0,0.006,0.994
"A blusa tem cor azul e branca, conforme o anúncio.",blusa cor azul branca conforme anúncio,Neutro,0.0344,0.029,0.0,0.971
Estou pesquisando opiniões sobre o preço antes de comprar.,estou pesquisando opiniões sobre preço antes comprar,Neutro,0.0167,0.015,0.0,0.985
"O livro tem cor azul e branca, conforme o anúncio.",livro cor azul branca conforme anúncio,Neutro,-0.0472,0.0,0.038,0.962
"A loja fica aberta até as 22h, segundo o site.",loja fica aberta até segundo site,Neutro,-0.0099,0.0,0.007,0.993
"Entrega atrasou muito, cobraram duas vezes no cartão.",entrega atrasou cobraram duas vezes cartão,Negativo,-0.7343,0.0,0.481,0.519
"A bicicleta veio com defeito, muito decepcionado.",bicicleta veio defeito decepcionado,Negativo,-0.8599,0.0,0.767,0.233
"O fone de ouvido é maravilhoso, adorei demais!",fone ouvido maravilhoso adorei demais,Positivo,0.5161,0.467,0.0,0.533
"Voltarei a comprar com certeza, acima da expectativa!",voltarei comprar certeza acima expectativa,Positivo,0.6615,0.605,0.0,0.395
Extremamente decepcionado com o livro.,extremamente decepcionado livro,Negativo,-0.5527,0.0,0.381,0.619
"Recebi o produto, embalagem estava ok.",recebi produto embalagem estava,Neutro,0.0174,0.015,0.0,0.985
A blusa chegou no prazo previsto.,blusa chegou prazo previsto,Neutro,-0.0266,0.0,0.019,0.981
"Péssimo a experiência de compra, não recomendo.",péssimo experiência compra recomendo,Negativo,-0.7441,0.0,0.671,0.329
"Entrega atrasou muito, veio tudo errado.",entrega atrasou veio tudo errado,Negativo,-0.6596,0.0,0.494,0.506
"Adorei o preço da marca, muito muito profissional!",adorei preço marca profissional,Positivo,0.4091,0.261,0.0,0.739
"Suporte não responde, estou muito insatisfeito.",suporte responde estou insatisfeito,Negativo,-0.8094,0.0,0.541,0.459
"Excelente a embalagem, recomendo a todos!",excelente embalagem recomendo todos,Positivo,0.5153,0.344,0.0,0.656
"Não indico essa marca pra ninguém, o produto quebrou em uma semana.",indico marca pra ninguém produto quebrou semana,Negativo,-0.8943,0.0,0.643,0.357
Estou pesquisando opiniões sobre o site antes de comprar.,estou pesquisando opiniões sobre site antes comprar,Neutro,0.0331,0.029,0.0,0.971
"Nunca mais compro dessa marca, veio tudo errado.",nunca compro dessa marca veio tudo errado,Negativo,-0.8689,0.0,0.856,0.144
"Muito satisfeito com o livro, vale cada centavo.",satisfeito livro vale cada centavo,Positivo,0.5728,0.498,0.0,0.502
Qual a diferença entre a bolsa e o modelo anterior?,diferença entre bolsa modelo anterior,Neutro,0.0441,0.031,0.0,0.969
A compra chegou no prazo previsto.,compra chegou prazo previsto,Neutro,-0.023,0.0,0.023,0.977
"Ótimo o preço, estou muito feliz com a compra!",ótimo preço estou feliz compra,Positivo,0.7156,0.435,0.0,0.565
"Atendimento nota 10, resolveram meu problema rapidinho.",atendimento nota resolveram problema rapidinho,Positivo,0.5594,0.338,0.0,0.662
Fui até a loja física para trocar a bicicleta.,fui até loja física trocar bicicleta,Neutro,0.0001,0.0,0.0,1.0
"Serviço ruim, atendimento péssimo, não voltarei.",serviço ruim atendimento péssimo voltarei,Negativo,-0.689,0.0,0.559,0.441
"O produto superou minhas expectativas, muito bom!",produto superou expectativas bom,Positivo,0.8527,0.658,0.0,0.342
"O preço impecável, virei cliente fiel dessa marca.",preço impecável virei cliente fiel dessa marca,Positivo,0.7388,0.49,0.0,0.51
Qual a diferença entre o celular e o modelo anterior?,diferença entre celular modelo anterior,Neutro,-0.0481,0.0,0.045,0.955
Estou pesquisando opiniões sobre o prazo de entrega antes de comprar.,estou pesquisando opiniões sobre prazo entrega antes comprar,Neutro,0.0173,0.011,0.0,0.989
"Comprei a bolsa ontem, ainda vou testar.",comprei bolsa ontem ainda vou testar,Neutro,0.04,0.037,0.0,0.963
"Atendimento nota 10, resolveram meu problema rapidinho.",atendimento nota resolveram problema rapidinho,Positivo,0.6777,0.513,0.0,0.487
"Serviço ruim, atendimento péssimo, não voltarei.",serviço ruim atendimento péssimo voltarei,Negativo,-0.501,0.0,0.368,0.632
"Voltarei a comprar com certeza, rápido e eficiente!",voltarei comprar certeza rápido eficiente,Positivo,0.4025,0.383,0.0,0.617
"Excelente o prazo de entrega, recomendo a todos!",excelente prazo entrega recomendo todos,Positivo,0.515,0.512,0.0,0.488
"A embalagem horrível, o produto quebrou em uma semana.",embalagem horrível produto quebrou semana,Negativo,-0.4217,0.0,0.391,0.609
Extremamente decepcionado com o perfume.,extremamente decepcionado perfume,Negativo,-0.6152,0.0,0.519,0.481
"Nunca mais compro dessa marca, demorou semanas para resolver.",nunca compro dessa marca demorou semanas resolver,Negativo,-0.8667,0.0,0.689,0.311
Qual a diferença entre o tênis e o modelo anterior?,diferença entre tênis modelo anterior,Neutro,0.0358,0.03,0.0,0.97
Extremamente decepcionado com a bicicleta.,extremamente decepcionado bicicleta,Negativo,-0.7485,0.0,0.615,0.385
"Recebi o tênis, embalagem estava ok.",recebi tênis embalagem estava,Neutro,0.0003,0.0,0.0,1.0
Extremamente decepcionado com a blusa.,extremamente decepcionado blusa,Negativo,-0.5961,0.0,0.437,0.563
"Atendimento nota 10, resolveram meu problema rapidinho.",atendimento nota resolveram problema rapidinho,Positivo,0.456,0.342,0.0,0.658
"Comprei o tênis e chegou rápido, super satisfeito!",comprei tênis chegou rápido super satisfeito,Positivo,0.8805,0.683,0.0,0.317
"Atendimento nota 10, resolveram meu problema rapidinho.",atendimento nota resolveram problema rapidinho,Positivo,0.6685,0.514,0.0,0.486
"O atendimento horrível, veio tudo errado.",atendimento horrível veio tudo errado,Negativo,-0.8015,0.0,0.537,0.463
"Atendimento horrível, ninguém resolve nada.",atendimento horrível ninguém resolve nada,Negativo,-0.4731,0.0,0.401,0.599
Alguém sabe informar o prazo de entrega de a bicicleta?,alguém sabe informar prazo entrega bicicleta,Neutro,0.0192,0.014,0.0,0.986
"O prazo de entrega impecável, virei cliente fiel dessa marca.",prazo entrega impecável virei cliente fiel dessa marca,Positivo,0.8547,0.841,0.0,0.159
"Muito satisfeito com o livro, vale cada centavo.",satisfeito livro vale cada centavo,Positivo,0.5753,0.498,0.0,0.502
"Serviço ruim, atendimento péssimo, não voltarei.",serviço ruim atendimento péssimo voltarei,Negativo,-0.6437,0.0,0.594,0.406
"A experiência de compra horrível, cobraram duas vezes no cartão.",experiência compra horrível cobraram duas vezes cartão,Negativo,-0.6917,0.0,0.613,0.387
"A bicicleta tem cor azul e branca, conforme o anúncio.",bicicleta cor azul branca conforme anúncio,Neutro,0.0165,0.013,0.0,0.987
"Produto de baixa qualidade, dinheiro jogado fora.",produto baixa qualidade dinheiro jogado fora,Negativo,-0.6993,0.0,0.45,0.55
Vi a propaganda da marca na TV hoje.,propaganda marca hoje,Neutro,-0.0432,0.0,0.028,0.972
Qual a diferença entre o tênis e o modelo anterior?,diferença entre tênis modelo anterior,Neutro,0.0088,0.008,0.0,0.992
Alguém sabe informar o prazo de entrega de a compra?,alguém sabe informar prazo entrega compra,Neutro,-0.0486,0.0,0.047,0.953
"Recebi o livro, embalagem estava ok.",recebi livro embalagem estava,Neutro,0.0238,0.019,0.0,0.981
"Adorei o preço da marca, muito muito profissional!",adorei preço marca profissional,Positivo,0.5925,0.437,0.0,0.563
Qual a diferença entre a compra e o modelo anterior?,diferença entre compra modelo anterior,Neutro,-0.0035,0.0,0.002,0.998
"Terrível, simplesmente terrível essa experiência.",terrível simplesmente terrível experiência,Negativo,-0.662,0.0,0.402,0.598
O eletrodoméstico chegou no prazo previsto.,eletrodoméstico chegou prazo previsto,Neutro,-0.0185,0.0,0.014,0.986
Alguém sabe informar o prazo de entrega de o produto?,alguém sabe informar prazo entrega produto,Neutro,-0.0089,0.0,0.008,0.992
"O produto superou minhas expectativas, muito bom!",produto superou expectativas bom,Positivo,0.8731,0.775,0.0,0.225
"Comprei o tênis ontem, ainda vou testar.",comprei tênis ontem ainda vou testar,Neutro,0.0099,0.008,0.0,0.992
"Adorei o preço da marca, muito de primeira qualidade!",adorei preço marca primeira qualidade,Positivo,0.8074,0.636,0.0,0.364
"Não indico essa marca pra ninguém, demorou semanas para resolver.",indico marca pra ninguém demorou semanas resolver,Negativo,-0.7873,0.0,0.702,0.298
"Adorei o suporte da marca, muito de primeira qualidade!",adorei suporte marca primeira qualidade,Positivo,0.7689,0.709,0.0,0.291
"Péssimo o atendimento, não recomendo.",péssimo atendimento recomendo,Negativo,-0.6473,0.0,0.622,0.378
"Serviço ruim, atendimento péssimo, não voltarei.",serviço ruim atendimento péssimo voltarei,Negativo,-0.4821,0.0,0.394,0.606
"Que compra ruim, a compra veio quebrado.",compra ruim compra veio quebrado,Negativo,-0.7161,0.0,0.513,0.487
"Voltarei a comprar com certeza, rápido e eficiente!",voltarei comprar certeza rápido eficiente,Positivo,0.7034,0.52,0.0,0.48
Fui até a loja física para trocar o celular.,fui até loja física trocar celular,Neutro,-0.0405,0.0,0.037,0.963
"Entrega atrasou muito, a caixa chegou toda amassada.",entrega atrasou caixa chegou toda amassada,Negativo,-0.4247,0.0,0.385,0.615
Alguém sabe informar o prazo de entrega de a blusa?,alguém sabe informar prazo entrega blusa,Neutro,0.0275,0.023,0.0,0.977
O perfume chegou no prazo previsto.,perfume chegou prazo previsto,Neutro,0.0438,0.04,0.0,0.96
Alguém sabe informar o prazo de entrega de o relógio?,alguém sabe informar prazo entrega relógio,Neutro,0.0458,0.038,0.0,0.962
"Nunca mais compro dessa marca, a caixa chegou toda amassada.",nunca compro dessa marca caixa chegou toda amassada,Negativo,-0.6059,0.0,0.368,0.632
"Serviço ruim, atendimento péssimo, não voltarei.",serviço ruim atendimento péssimo voltarei,Negativo,-0.6827,0.0,0.573,0.427
"Adorei a embalagem da marca, muito acima da expectativa!",adorei embalagem marca acima expectativa,Positivo,0.4923,0.474,0.0,0.526
"Recebi a blusa, embalagem estava ok.",recebi blusa embalagem estava,Neutro,0.0162,0.015,0.0,0.985
"O prazo de entrega horrível, cobraram duas vezes no cartão.",prazo entrega horrível cobraram duas vezes cartão,Negativo,-0.6048,0.0,0.397,0.603
"Não indico essa marca pra ninguém, o produto quebrou em uma semana.",indico marca pra ninguém produto quebrou semana,Negativo,-0.4803,0.0,0.328,0.672
Fui até a loja física para trocar o pedido.,fui até loja física trocar pedido,Neutro,0.0396,0.037,0.0,0.963
"A experiência de compra impecável, virei cliente fiel dessa marca.",experiência compra impecável virei cliente fiel dessa marca,Positivo,0.6098,0.565,0.0,0.435
"A qualidade horrível, ninguém respondeu meus e-mails.",qualidade horrível ninguém respondeu emails,Negativo,-0.4461,0.0,0.284,0.716
"O brinquedo é maravilhoso, adorei demais!",brinquedo maravilhoso adorei demais,Positivo,0.5367,0.485,0.0,0.515
Fui até a loja física para trocar o eletrodoméstico.,fui até loja física trocar eletrodoméstico,Neutro,0.0231,0.016,0.0,0.984
"Atendimento nota 10, resolveram meu problema rapidinho.",atendimento nota resolveram problema rapidinho,Positivo,0.4539,0.409,0.0,0.591
"Nunca mais compro dessa marca, demorou semanas para resolver.",nunca compro dessa marca demorou semanas resolver,Negativo,-0.7501,0.0,0.636,0.364
"Recebi o perfume, embalagem estava ok.",recebi perfume embalagem estava,Neutro,-0.0185,0.0,0.018,0.982
"Que compra ruim, a blusa veio quebrado.",compra ruim blusa veio quebrado,Negativo,-0.6414,0.0,0.618,0.382
"Muito satisfeito com a bicicleta, vale cada centavo.",satisfeito bicicleta vale cada centavo,Positivo,0.8721,0.702,0.0,0.298
"Que compra ruim, a bolsa veio quebrado.",compra ruim bolsa veio quebrado,Negativo,-0.5971,0.0,0.547,0.453
"Recebi o perfume, embalagem estava ok.",recebi perfume embalagem estava,Neutro,0.0086,0.007,0.0,0.993
"Entrega atrasou muito, veio tudo errado.",entrega atrasou veio tudo errado,Negativo,-0.8641,0.0,0.631,0.369
A blusa chegou no prazo previsto.,blusa chegou prazo previsto,Neutro,0.0322,0.03,0.0,0.97
"Muito ruim a entrega, experiência péssima.",ruim entrega experiência péssima,Negativo,-0.6032,0.0,0.488,0.512
"Muito bom a blusa, ficou perfeito, adorei o resultado!",bom blusa ficou perfeito adorei resultado,Positivo,0.5815,0.442,0.0,0.558
"Adorei o suporte da marca, muito impecável!",adorei suporte marca impecável,Positivo,0.5767,0.513,0.0,0.487
"Que compra ruim, o pedido veio quebrado.",compra ruim pedido veio quebrado,Negativo,-0.7072,0.0,0.468,0.532
"Excelente o prazo de entrega, recomendo a todos!",excelente prazo entrega recomendo todos,Positivo,0.4353,0.295,0.0,0.705
"Entrega atrasou muito, cobraram duas vezes no cartão.",entrega atrasou cobraram duas vezes cartão,Negativo,-0.4223,0.0,0.254,0.746
"A compra é horrível, não vale o preço, decepção total.",compra horrível vale preço decepção total,Negativo,-0.7993,0.0,0.732,0.268
"Recebi o livro, embalagem estava ok.",recebi livro embalagem estava,Neutro,-0.0357,0.0,0.026,0.974
Qual a diferença entre a bicicleta e o modelo anterior?,diferença entre bicicleta modelo anterior,Neutro,0.0366,0.023,0.0,0.977
"O perfume superou minhas expectativas, muito bom!",perfume superou expectativas bom,Positivo,0.668,0.504,0.0,0.496
"Muito bom a bolsa, ficou perfeito, adorei o resultado!",bom bolsa ficou perfeito adorei resultado,Positivo,0.534,0.363,0.0,0.637
"Equipe rápido e eficiente, super recomendo essa marca!",equipe rápido eficiente super recomendo marca,Positivo,0.4566,0.323,0.0,0.677
"Entrega atrasou muito, o produto quebrou em uma semana.",entrega atrasou produto quebrou semana,Negativo,-0.7673,0.0,0.756,0.244
Alguém sabe informar o prazo de entrega de a blusa?,alguém sabe informar prazo entrega blusa,Neutro,-0.049,0.0,0.035,0.965
Fui até a loja física para trocar o perfume.,fui até loja física trocar perfume,Neutro,-0.0294,0.0,0.029,0.971
"Recebi o relógio, embalagem estava ok.",recebi relógio embalagem estava,Neutro,-0.0176,0.0,0.013,0.987
"Comprei a bicicleta ontem, ainda vou testar.",comprei bicicleta ontem ainda vou testar,Neutro,-0.0353,0.0,0.029,0.971
"Não indico essa marca pra ninguém, ninguém respondeu meus e-mails.",indico marca pra ninguém ninguém respondeu emails,Negativo,-0.7151,0.0,0.516,0.484
Melhor experiência que já tive com o atendimento.,melhor experiência atendimento,Positivo,0.6304,0.493,0.0,0.507
"O fone de ouvido é horrível, não vale o preço, decepção total.",fone ouvido horrível vale preço decepção total,Negativo,-0.8445,0.0,0.6,0.4
"O tênis é maravilhoso, adorei demais!",tênis maravilhoso adorei demais,Positivo,0.4804,0.331,0.0,0.669
"O fone de ouvido superou minhas expectativas, muito bom!",fone ouvido superou expectativas bom,Positivo,0.8571,0.725,0.0,0.275
Alguém sabe informar o prazo de entrega de o pedido?,alguém sabe informar prazo entrega pedido,Neutro,0.0083,0.007,0.0,0.993
"Comprei o brinquedo ontem, ainda vou testar.",comprei brinquedo ontem ainda vou testar,Neutro,-0.0081,0.0,0.005,0.995
"Serviço ruim, atendimento péssimo, não voltarei.",serviço ruim atendimento péssimo voltarei,Negativo,-0.4862,0.0,0.39,0.61
Estou pesquisando opiniões sobre o suporte antes de comprar.,estou pesquisando opiniões sobre suporte antes comprar,Neutro,0.032,0.022,0.0,0.978
Melhor experiência que já tive com o atendimento.,melhor experiência atendimento,Positivo,0.4157,0.289,0.0,0.711
"Excelente o site, recomendo a todos!",excelente site recomendo todos,Positivo,0.8162,0.714,0.0,0.286
"O celular superou minhas expectativas, muito bom!",celular superou expectativas bom,Positivo,0.6366,0.463,0.0,0.537
O tênis chegou no prazo previsto.,tênis chegou prazo previsto,Neutro,-0.0007,0.0,0.001,0.999
"Péssimo a qualidade, não recomendo.",péssimo qualidade recomendo,Negativo,-0.6728,0.0,0.448,0.552
"Muito bom o perfume, ficou perfeito, adorei o resultado!",bom perfume ficou perfeito adorei resultado,Positivo,0.7226,0.577,0.0,0.423
"Voltarei a comprar com certeza, impecável!",voltarei comprar certeza impecável,Positivo,0.8039,0.54,0.0,0.46
"Equipe rápido e eficiente, super recomendo essa marca!",equipe rápido eficiente super recomendo marca,Positivo,0.8223,0.819,0.0,0.181
"Que compra ruim, a blusa veio quebrado.",compra ruim blusa veio quebrado,Negativo,-0.8317,0.0,0.55,0.45
Extremamente decepcionado com a compra.,extremamente decepcionado compra,Negativo,-0.5713,0.0,0.479,0.521
"Que ótima experiência de compra, tudo maravilhoso!",ótima experiência compra tudo maravilhoso,Positivo,0.7732,0.733,0.0,0.267
"O pedido veio com defeito, muito decepcionado.",pedido veio defeito decepcionado,Negativo,-0.6593,0.0,0.639,0.361
"Produto de baixa qualidade, dinheiro jogado fora.",produto baixa qualidade dinheiro jogado fora,Negativo,-0.8676,0.0,0.603,0.397
"Produto de baixa qualidade, dinheiro jogado fora.",produto baixa qualidade dinheiro jogado fora,Negativo,-0.8074,0.0,0.666,0.334
"A loja fica aberta até as 22h, segundo o site.",loja fica aberta até segundo site,Neutro,-0.0296,0.0,0.029,0.971
"Comprei a bicicleta e chegou rápido, super satisfeito!",comprei bicicleta chegou rápido super satisfeito,Positivo,0.5618,0.468,0.0,0.532
"Equipe rápido e eficiente, super recomendo essa marca!",equipe rápido eficiente super recomendo marca,Positivo,0.6187,0.406,0.0,0.594
Vi a propaganda da marca na TV hoje.,propaganda marca hoje,Neutro,-0.0252,0.0,0.022,0.978
"O produto veio com defeito, muito decepcionado.",produto veio defeito decepcionado,Negativo,-0.7472,0.0,0.582,0.418
Extremamente decepcionado com a bicicleta.,extremamente decepcionado bicicleta,Negativo,-0.4403,0.0,0.435,0.565
"Suporte não responde, estou muito insatisfeito.",suporte responde estou insatisfeito,Negativo,-0.8619,0.0,0.813,0.187
"O eletrodoméstico superou minhas expectativas, muito bom!",eletrodoméstico superou expectativas bom,Positivo,0.5729,0.348,0.0,0.652
"Produto de baixa qualidade, dinheiro jogado fora.",produto baixa qualidade dinheiro jogado fora,Negativo,-0.4265,0.0,0.362,0.638
"Que ótima experiência de compra, tudo maravilhoso!",ótima experiência compra tudo maravilhoso,Positivo,0.5754,0.506,0.0,0.494
"O eletrodoméstico é maravilhoso, adorei demais!",eletrodoméstico maravilhoso adorei demais,Positivo,0.69,0.585,0.0,0.415
"Comprei o pedido e chegou rápido, super satisfeito!",comprei pedido chegou rápido super satisfeito,Positivo,0.554,0.375,0.0,0.625
"Comprei o livro ontem, ainda vou testar.",comprei livro ontem ainda vou testar,Neutro,0.0053,0.003,0.0,0.997
"Serviço ruim, atendimento péssimo, não voltarei.",serviço ruim atendimento péssimo voltarei,Negativo,-0.5097,0.0,0.469,0.531
"O livro é maravilhoso, adorei demais!",livro maravilhoso adorei demais,Positivo,0.8404,0.699,0.0,0.301
"Terrível, simplesmente terrível essa experiência.",terrível simplesmente terrível experiência,Negativo,-0.7042,0.0,0.576,0.424
"Comprei o produto ontem, ainda vou testar.",comprei produto ontem ainda vou testar,Neutro,-0.0198,0.0,0.019,0.981
Vi a propaganda da marca na TV hoje.,propaganda marca hoje,Neutro,0.013,0.013,0.0,0.987
"O celular superou minhas expectativas, muito bom!",celular superou expectativas bom,Positivo,0.8031,0.771,0.0,0.229
"Voltarei a comprar com certeza, super atencioso!",voltarei comprar certeza super atencioso,Positivo,0.4735,0.314,0.0,0.686
"A bolsa superou minhas expectativas, muito bom!",bolsa superou expectativas bom,Positivo,0.5349,0.466,0.0,0.534
"Que ótima experiência de compra, tudo maravilhoso!",ótima experiência compra tudo maravilhoso,Positivo,0.4435,0.268,0.0,0.732
Fui até a loja física para trocar o fone de ouvido.,fui até loja física trocar fone ouvido,Neutro,0.004,0.004,0.0,0.996
"O celular é maravilhoso, adorei demais!",celular maravilhoso adorei demais,Positivo,0.7361,0.694,0.0,0.306
"Ótimo a experiência de compra, estou muito feliz com a compra!",ótimo experiência compra estou feliz compra,Positivo,0.6262,0.536,0.0,0.464
"Simplesmente incrível, o site sensacional!",simplesmente incrível site sensacional,Positivo,0.4497,0.436,0.0,0.564
"Que compra ruim, o notebook veio quebrado.",compra ruim notebook veio quebrado,Negativo,-0.5707,0.0,0.56,0.44
"Voltarei a comprar com certeza, muito profissional!",voltarei comprar certeza profissional,Positivo,0.8754,0.535,0.0,0.465
"Recebi a compra, embalagem estava ok.",recebi compra embalagem estava,Neutro,-0.0127,0.0,0.009,0.991
"Produto de baixa qualidade, dinheiro jogado fora.",produto baixa qualidade dinheiro jogado fora,Negativo,-0.8289,0.0,0.511,0.489
"Que compra ruim, o livro veio quebrado.",compra ruim livro veio quebrado,Negativo,-0.7717,0.0,0.63,0.37
"Equipe muito profissional, super recomendo essa marca!",equipe profissional super recomendo marca,Positivo,0.5995,0.445,0.0,0.555
"Terrível, simplesmente terrível essa experiência.",terrível simplesmente terrível experiência,Negativo,-0.8078,0.0,0.746,0.254
"Serviço ruim, atendimento péssimo, não voltarei.",serviço ruim atendimento péssimo voltarei,Negativo,-0.8531,0.0,0.751,0.249
"O brinquedo é horrível, não vale o preço, decepção total.",brinquedo horrível vale preço decepção total,Negativo,-0.5271,0.0,0.369,0.631
Melhor experiência que já tive com o preço.,melhor experiência preço,Positivo,0.5801,0.395,0.0,0.605
Alguém sabe informar o prazo de entrega de o fone de ouvido?,alguém sabe informar prazo entrega fone ouvido,Neutro,0.0283,0.019,0.0,0.981
"Equipe impecável, super recomendo essa marca!",equipe impecável super recomendo marca,Positivo,0.6469,0.534,0.0,0.466
"Ótimo o atendimento, estou muito feliz com a compra!",ótimo atendimento estou feliz compra,Positivo,0.7085,0.665,0.0,0.335
"O atendimento impecável, virei cliente fiel dessa marca.",atendimento impecável virei cliente fiel dessa marca,Positivo,0.8759,0.768,0.0,0.232
"Recebi o eletrodoméstico, embalagem estava ok.",recebi eletrodoméstico embalagem estava,Neutro,-0.0081,0.0,0.007,0.993
"Muito bom o relógio, ficou perfeito, adorei o resultado!",bom relógio ficou perfeito adorei resultado,Positivo,0.8702,0.699,0.0,0.301
"Atendimento nota 10, resolveram meu problema rapidinho.",atendimento nota resolveram problema rapidinho,Positivo,0.4152,0.375,0.0,0.625
"Suporte não responde, estou muito insatisfeito.",suporte responde estou insatisfeito,Negativo,-0.8399,0.0,0.509,0.491
"Suporte não responde, estou muito insatisfeito.",suporte responde estou insatisfeito,Negativo,-0.4364,0.0,0.338,0.662
"Produto de baixa qualidade, dinheiro jogado fora.",produto baixa qualidade dinheiro jogado fora,Negativo,-0.5055,0.0,0.322,0.678
Fui até a loja física para trocar o livro.,fui até loja física trocar livro,Neutro,0.0337,0.031,0.0,0.969
Melhor experiência que já tive com o suporte.,melhor experiência suporte,Positivo,0.5505,0.493,0.0,0.507
"O fone de ouvido é maravilhoso, adorei demais!",fone ouvido maravilhoso adorei demais,Positivo,0.7,0.431,0.0,0.569
"Atendimento nota 10, resolveram meu problema rapidinho.",atendimento nota resolveram problema rapidinho,Positivo,0.4815,0.39,0.0,0.61
"Muito bom o fone de ouvido, ficou perfeito, adorei o resultado!",bom fone ouvido ficou perfeito adorei resultado,Positivo,0.7943,0.667,0.0,0.333
"Excelente o app, recomendo a todos!",excelente app recomendo todos,Positivo,0.7475,0.708,0.0,0.292
"Voltarei a comprar com certeza, super atencioso!",voltarei comprar certeza super atencioso,Positivo,0.6954,0.606,0.0,0.394
Qual a diferença entre o notebook e o modelo anterior?,diferença entre notebook modelo anterior,Neutro,0.0072,0.007,0.0,0.993
